正在生成 10000 道四则运算题目 (数值范围: [0, 100))...
生成完毕！
  - 题目文件已生成: Exercises.txt (10000 题)
  - 答案文件已生成: Answers.txt (10000 题)
         2468628 function calls (2307884 primitive calls) in 1.144 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 argparse.py:1509(add_argument_group)
       48    0.000    0.000    0.000    0.000 _compiler.py:216(_compile_charset)
      278    0.000    0.000    0.000    0.000 _parser.py:256(match)
       15    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
        2    0.000    0.000    0.000    0.000 enum.py:1551(__or__)
       25    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
        6    0.000    0.000    0.000    0.000 gettext.py:224(_expand_lang)
        2    0.000    0.000    0.000    0.000 argparse.py:1686(__init__)
       60    0.000    0.000    0.000    0.000 enum.py:1544(_get_value)
       71    0.000    0.000    0.000    0.000 typing.py:1134(_is_dunder)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1295(exec_module)
      185    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
       24    0.000    0.000    0.000    0.000 typing.py:166(_type_convert)
       12    0.000    0.000    0.000    0.000 <frozen _collections_abc>:804(get)
       20    0.000    0.000    0.000    0.000 enum.py:1129(__new__)
        5    0.000    0.000    0.000    0.000 _compiler.py:386(_mk_bitmap)
        6    0.000    0.000    0.000    0.000 <frozen genericpath>:16(exists)
      118    0.000    0.000    0.000    0.000 _parser.py:176(append)
       51    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
       80    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
       15    0.000    0.000    0.000    0.000 _parser.py:274(getuntil)
        3    0.000    0.000    0.000    0.000 {built-in method _imp.exec_dynamic}
        5    0.000    0.000    0.000    0.000 argparse.py:1887(_add_action)
       20    0.000    0.000    0.000    0.000 _parser.py:86(opengroup)
      175    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:699(_validate_timestamp_pyc)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1456(_path_hooks)
       15    0.000    0.000    0.000    0.000 _parser.py:449(_uniq)
        5    0.000    0.000    0.000    0.000 {built-in method posix.get_terminal_size}
       11    0.000    0.000    0.000    0.000 typing.py:262(_collect_parameters)
       26    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__new__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1644(_fill_cache)
        5    0.000    0.000    0.000    0.000 argparse.py:1708(_add_action)
       42    0.000    0.000    0.000    0.000 _parser.py:372(_escape)
       25    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
        6    0.000    0.000    0.000    0.000 typing.py:1557(<genexpr>)
       25    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
      128    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 typing.py:885(__init__)
        6    0.000    0.000    0.000    0.000 <frozen posixpath>:71(join)
        1    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
       90    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
      144    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
       12    0.000    0.000    0.000    0.000 typing.py:723(<genexpr>)
       90    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
        1    0.000    0.000    0.000    0.000 enum.py:1414(_missing_)
      102    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
     11/6    0.000    0.000    0.000    0.000 <frozen abc>:121(__subclasscheck__)
       68    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
        5    0.000    0.000    0.000    0.000 argparse.py:1519(_add_action)
        2    0.000    0.000    0.000    0.000 argparse.py:1999(take_action)
       19    0.000    0.000    0.000    0.000 {built-in method fromkeys}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
        1    0.000    0.000    0.000    0.000 random.py:126(__init__)
     11/6    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1685(path_hook_for_FileFinder)
        4    0.000    0.000    0.000    0.000 <frozen abc>:110(register)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:662(spec_from_loader)
        1    0.000    0.000    0.000    0.000 random.py:135(seed)
        5    0.000    0.000    0.000    0.000 argparse.py:1599(_get_optional_kwargs)
       26    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
        2    0.000    0.000    0.000    0.000 functools.py:518(decorating_function)
       26    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
        4    0.000    0.000    0.000    0.000 {built-in method _abc._abc_register}
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_abspath)
       37    0.000    0.000    0.000    0.000 argparse.py:1429(register)
       22    0.000    0.000    0.000    0.000 <frozen os>:762(encode)
        3    0.000    0.000    0.000    0.000 _compiler.py:391(_bytes_to_codes)
      141    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
        6    0.000    0.000    0.000    0.000 locale.py:381(normalize)
        4    0.000    0.000    0.000    0.000 typing.py:345(_remove_dups_flatten)
        1    0.000    0.000    0.000    0.000 argparse.py:166(HelpFormatter)
       20    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
        5    0.000    0.000    0.000    0.000 argparse.py:617(_format_args)
       20    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:643(_check_name_wrapper)
       34    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
        1    0.000    0.000    0.000    0.000 fnmatch.py:1(<module>)
      109    0.000    0.000    0.000    0.000 _parser.py:113(__init__)
       25    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       58    0.000    0.000    0.000    0.000 _parser.py:83(groups)
       49    0.000    0.000    0.000    0.000 typing.py:1252(__eq__)
